"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2021","16,215.0","15,834.0","16,215.0","15,738.0","344.70K","3.66%"
"02/02/2021","15,643.0","15,262.0","15,738.0","15,071.0","318.50K","2.50%"
"02/01/2021","15,262.0","15,977.0","15,977.0","15,166.0","411.90K","-4.48%"
"01/29/2021","15,977.0","14,689.0","16,215.0","14,689.0","284.10K","4.68%"
"01/28/2021","15,262.0","15,452.0","15,834.0","15,262.0","2.58M","-6.97%"
"01/27/2021","16,406.0","16,692.0","16,740.0","16,215.0","876.20K","-0.86%"
"01/26/2021","16,549.0","17,074.0","17,169.0","16,215.0","522.90K","-3.07%"
"01/25/2021","17,074.0","16,931.0","17,455.0","16,788.0","766.60K","0.84%"
"01/22/2021","16,931.0","16,931.0","17,312.0","16,835.0","659.90K","0.57%"
"01/21/2021","16,835.0","16,883.0","17,026.0","16,502.0","1.06M","2.02%"
"01/20/2021","16,502.0","16,406.0","16,883.0","15,738.0","1.17M","-1.14%"
"01/19/2021","16,692.0","17,837.0","17,837.0","16,597.0","2.05M","-6.42%"
"01/18/2021","17,837.0","18,028.0","18,028.0","17,694.0","1.06M","-0.80%"
"01/15/2021","17,980.0","17,980.0","18,218.0","17,885.0","1.24M","0.00%"
"01/14/2021","17,980.0","18,314.0","18,314.0","17,837.0","840.40K","-0.79%"
"01/13/2021","18,123.0","18,123.0","18,409.0","17,932.0","1.53M","0.80%"
"01/12/2021","17,980.0","17,837.0","18,075.0","17,789.0","818.80K","-0.27%"
"01/11/2021","18,028.0","18,266.0","18,266.0","17,742.0","1.10M","-0.52%"
"01/08/2021","18,123.0","18,171.0","18,505.0","18,028.0","1.63M","0.00%"
"01/07/2021","18,123.0","18,028.0","18,218.0","17,694.0","1.56M","0.53%"
"01/06/2021","18,028.0","17,932.0","18,314.0","17,837.0","1.59M","0.54%"
"01/05/2021","17,932.0","17,312.0","18,218.0","17,169.0","2.51M","3.58%"
"01/04/2021","17,312.0","16,978.0","17,551.0","16,645.0","2.35M","4.01%"
"12/31/2020","16,645.0","16,549.0","16,692.0","16,454.0","790.46K","0.58%"
"12/30/2020","16,549.0","16,835.0","16,931.0","16,502.0","1.11M","-1.70%"
"12/29/2020","16,835.0","16,645.0","16,978.0","16,358.0","1.66M","1.43%"
"12/28/2020","16,597.0","16,597.0","17,026.0","16,215.0","1.29M","2.36%"
"12/25/2020","16,215.0","16,025.0","16,597.0","15,738.0","1.59M","0.89%"
"12/24/2020","16,072.0","16,788.0","16,788.0","15,643.0","1.20M","-4.26%"
"12/23/2020","16,788.0","17,074.0","17,169.0","16,692.0","1.19M","-1.68%"
"12/22/2020","17,074.0","16,215.0","17,265.0","16,025.0","2.85M","5.60%"
"12/21/2020","16,168.0","16,263.0","16,406.0","16,072.0","1.53M","-1.16%"
"12/18/2020","16,358.0","15,929.0","16,549.0","15,834.0","1.92M","3.00%"
"12/17/2020","15,882.0","15,834.0","16,168.0","15,691.0","1.27M","0.00%"
"12/16/2020","15,882.0","16,025.0","16,072.0","15,738.0","1.55M","-0.30%"
"12/15/2020","15,929.0","16,025.0","16,120.0","15,834.0","909.76K","-1.18%"
"12/14/2020","16,120.0","16,311.0","16,358.0","16,072.0","1.03M","-0.30%"
"12/11/2020","16,168.0","15,691.0","16,168.0","15,643.0","1.28M","2.73%"
"12/10/2020","15,738.0","16,168.0","16,168.0","15,738.0","1.81M","-2.94%"
"12/09/2020","16,215.0","16,215.0","16,311.0","16,025.0","1.06M","-0.59%"
"12/08/2020","16,311.0","16,597.0","16,597.0","16,025.0","1.50M","0.88%"
"12/07/2020","16,168.0","15,166.0","16,168.0","15,166.0","3.38M","6.95%"
"12/04/2020","15,118.0","14,975.0","15,166.0","14,975.0","889.40K","0.31%"
"12/03/2020","15,071.0","15,166.0","15,262.0","14,975.0","665.99K","0.00%"
"12/02/2020","15,071.0","15,214.0","15,262.0","15,023.0","759.91K","-1.25%"
"12/01/2020","15,262.0","14,594.0","15,262.0","14,594.0","1.40M","2.24%"
"11/30/2020","14,928.0","15,262.0","15,309.0","14,928.0","840.70K","-2.19%"
"11/27/2020","15,262.0","15,452.0","15,452.0","14,975.0","1.06M","0.95%"
"11/26/2020","15,118.0","15,163.0","15,251.0","15,074.0","728.77K","-0.30%"
"11/25/2020","15,163.0","15,074.0","15,163.0","14,941.0","1.07M","0.59%"
"11/24/2020","15,074.0","15,207.0","15,340.0","14,985.0","1.65M","-1.45%"
"11/23/2020","15,296.0","15,517.0","15,517.0","15,251.0","1.05M","-0.57%"
"11/20/2020","15,384.0","15,473.0","15,517.0","15,296.0","1.34M","0.00%"
"11/19/2020","15,384.0","15,074.0","15,429.0","15,074.0","1.75M","2.06%"
"11/18/2020","15,074.0","15,030.0","15,074.0","14,897.0","1.34M","1.49%"
"11/17/2020","14,852.0","14,586.0","14,852.0","14,586.0","982.25K","1.82%"
"11/16/2020","14,586.0","14,631.0","14,941.0","14,542.0","1.26M","-0.31%"
